subject	assay	assayType	assayNum	firingRateMean	firingRateMedian	firingRateStd	meanSpikesCell	syncActivityMean	syncActivityMax	fwhmMean
F887	SCH01	SCH	1	0.00971327703830922	0.00882352941176471	0.00489325120696661	29.7226277372263	2.66143790849673	25	NaN
M884	QEXT01	QEXT	1	0.0117276384683704	0.0106782293554232	0.00574805028577866	36.2430939226519	2.12270256277505	17	NaN
M885	NULL000	NULL	0	0.0113549220358137	0.00964630225080386	0.00650359670473756	35.3138075313808	2.71382636655949	26	NaN
M886	REN02	REN	2	0.0141441822985578	0.0136328226434692	0.00501766079170766	43.5753968253968	3.56433393923656	23	NaN
F139	PAV10	PAV	10	0.0127970080932493	0.0124183006535948	0.00395815334924218	39.158844765343	3.54477124183007	40	NaN
F139	PAV21	PAV	21	0.0124606185301871	0.0115894039735099	0.00481393534681667	37.6310679611651	2.56688741721854	26	NaN
F139	PAV22	PAV	22	0.0126733004421134	0.012221708396644	0.00534951556277896	38.3671497584541	2.62337319151747	24	NaN
F139	PAV24	PAV	24	0.011595718217129	0.0116333178222429	0.00454402913807124	34.8868778280543	2.56265372598551	25	NaN
F139	PAV25	PAV	25	0.012561271187161	0.0120922936139617	0.00457413769311542	38.4349775784753	2.80116347473691	30	NaN
F139	QEXT01	QEXT	1	0.0110301759159534	0.0108203816643714	0.00412786148773399	33.6398305084746	2.60312151616499	29	NaN
F887	SCH02	SCH	2	0.00983838922271758	0.00941558441558442	0.00368864754597383	30.3022388059701	2.63668831168831	30	NaN
M884	QEXT02	QEXT	2	0.0109286860275159	0.00970748123220295	0.00565854394161762	33.774011299435	1.93437742687031	16	NaN
M885	NULL000	NULL	0	0.0126744186046512	0.0104838709677419	0.00838182088900517	39.2906976744186	1.09	9	NaN
M886	SCH01	SCH	1	0.0132022304897935	0.0124967956934119	0.00553815776713472	41.2015209125475	3.47218661881569	28	NaN
F139	PAV11	PAV	11	0.0124875508636144	0.0122186495176849	0.00497075291957431	38.8362831858407	2.82218649517685	28	NaN
F887	NULL000	NULL	0	0.00923586409910463	0.00806451612903226	0.00547993051697011	28.6311787072243	2.42903225806452	25	NaN
M884	REN01	REN	1	0.0101697087385233	0.00931250816886682	0.00539652388056893	31.1233766233766	1.56613514573258	18	NaN
M885	NULL000	NULL	0	0.0115726309003036	0.00957730017531329	0.00644804271409642	35.646017699115	2.61541458346861	22	NaN
M886	SCH02	SCH	2	0.0120967741935484	0.0120967741935484	0.00512522831595708	37.5	2.90322580645161	33	NaN
F139	PAV12	PAV	12	0.0126224482165557	0.0120578778135048	0.00477470197705789	39.2558139534884	3.25659163987138	34	NaN
F887	NULL000	NULL	0	0.00993259508907078	0.00838709677419355	0.00622516378952979	30.7910447761194	2.66193548387097	21	NaN
M884	REN02	REN	2	0.0107956446638994	0.00983477576711251	0.00531258956609251	32.9310344827586	2.19151586677157	18	NaN
M885	NULL000	NULL	0	0.0119259232387724	0.00941558441558442	0.00743602660430842	36.731843575419	2.13474025974026	15	NaN
M886	NULL000	NULL	0	0.0139729271999634	0.0129836406128278	0.005511962797773	43.0477941176471	3.80063619839003	28	NaN
F139	PAV13	PAV	13	0.0119394164295826	0.0120521172638436	0.00493923897593811	36.6540084388186	2.82964169381107	26	NaN
F887	NULL000	NULL	0	0.00902080873671782	0.00811688311688312	0.00533491088504503	27.7840909090909	2.38149350649351	17	NaN
M884	SCH01	SCH	1	0.0105600407521725	0.00914913083257091	0.00548505177043505	32.3179487179487	2.05920794667364	18	NaN
M886	NULL000	NULL	0	0.0127613332705505	0.0122549019607843	0.00537741840513179	39.5703422053232	3.3562306501548	23	NaN
F139	PAV14	PAV	14	0.012782991202346	0.012258064516129	0.00483391702372438	39.6272727272727	2.81225806451613	31	NaN
F887	NULL000	NULL	0	0.0100171881197639	0.00846905537459283	0.00529529585312928	30.7527675276753	2.71465798045603	27	NaN
M884	SCH02	SCH	2	0.0104941501939718	0.00941436177119855	0.00523625354506081	32.3261802575107	2.44513699519543	24	NaN
M886	NULL000	NULL	0	0.012798920051323	0.0119764355538292	0.0056050692708654	39.5409836065574	3.12293649252282	24	NaN
F139	PAV15	PAV	15	0.0116678105696637	0.0112903225806452	0.00469642808003499	36.1702127659574	2.74193548387097	26	NaN
M884	NULL000	NULL	0	0.0105344057278001	0.00945391616459428	0.00561745282447486	32.8715596330275	2.29650044866043	19	NaN
F139	PAV16	PAV	16	0.0131354838709677	0.0132258064516129	0.00567402196512109	40.72	0.656774193548387	9	NaN
M884	NULL000	NULL	0	0.0103957069795535	0.00941436177119855	0.00556625061926975	32.0229357798165	2.26626412154266	23	NaN
F139	PAV17	PAV	17	0.012248049523963	0.0122977346278317	0.00466220326229752	37.8464730290456	2.95177993527508	30	NaN
M884	NULL000	NULL	0	0.0111400014312636	0.0101679349252165	0.00539318689403208	33.9636363636364	2.45080031487798	21	NaN
F139	PAV18	PAV	18	0.0130373181530677	0.0129032258064516	0.00434100839885641	40.4156862745098	3.32451612903226	31	NaN
M884	NULL000	NULL	0	0.00981695391761399	0.00916280864197531	0.00551924323423337	30.5346534653465	1.98302469135802	22	NaN
F139	PAV19	PAV	19	0.0118243243243243	0.0113695426195426	0.00445418678872196	36.4	3.0152027027027	30	NaN
F139	PAV20	PAV	20	0.0118613619882655	0.012012987012987	0.00506888766444726	36.5329949238579	2.33668831168831	28	NaN
F139	REN01	REN	1	0.010962299549457	0.0108910891089109	0.00425797896405365	33.2157676348548	2.64191419141914	33	NaN
F139	REN02	REN	2	0.011152568757333	0.0111901000526593	0.00465585364750493	33.8859649122807	2.54278567667193	28	NaN
